,CODE_IRIS,area
0,721910000,119661417.92606564
1,772480000,9428581.569098698
2,514260000,17684710.099343255
3,811990000,28422704.352251753
4,592250102,26891458.24241178
5,603970000,8254990.891870563
6,383820104,726110.107750561
7,144260000,17397792.436734468
8,621600301,302225.7980522182
9,343170000,83107133.26928315
10,784740000,13699122.273293048
11,712730000,66632412.38989828
12,274550000,20350815.076682348
13,102430000,14122314.618126834
14,010270000,36984033.332964435
15,212680000,17198246.625778638
16,523830000,38405649.53472302
17,772460000,50020756.004824124
18,070090000,13437608.86792311
19,884780000,33892065.67816364
20,650530000,5716042.541785192
21,231670000,70762518.50968076
22,632760000,42752292.18357763
23,263570000,44967737.221935585
24,767210000,22001967.526337396
25,562030000,61855784.36710762
26,712620000,26211383.571540076
27,360770000,39427835.31577816
28,641130000,21353278.345606815
29,591020000,11707510.9370019
30,691800000,9955948.187311757
31,244570000,18686555.1900241
32,314880104,1465622.8932142863
33,807690000,5361269.470195451
34,350970000,74693129.70122203
35,250450000,6205905.08317706
36,621430000,8568519.338177683
37,751114113,85247.20341853207
38,920440109,191285.67089512543
39,772840103,7492701.689421632
40,820240000,39165733.59405072
41,422181601,600530.136727877
42,601870000,23076340.59773765
43,385280000,23703450.534767784
44,764980107,951967.8249832583
45,403310000,44601813.3404932
46,590170304,1118431.7117175567
47,784010104,3961774.207897282
48,800860000,42350732.09842583
49,2A0990000,45181338.95624754
50,561490000,108122126.19412735
51,174820000,32883550.038394194
52,621050000,23167737.756419446
53,350450000,47047190.41508137
54,681520000,20140683.83876162
55,470460000,31298637.49162419
56,552890000,18074435.012808453
57,505840000,18195920.028200693
58,470130000,23840819.054553743
59,930270105,960572.8267553503
60,562600105,464222.6605960581
61,493280105,4833453.042606527
62,715250000,22505075.698953968
63,480390000,140555525.88819948
64,731100000,31243671.118988186
65,132130901,110624.35331004427
66,573670000,9906181.764142059
67,520400000,21427167.192852642
68,850230000,22658098.4076577
69,462120000,33257447.7047653
70,692820201,1356143.5128786403
71,222780117,3314515.938337021
72,380360000,4078529.560835274
73,081050501,1925575.5742813174
74,2B1200000,34985076.93599118
75,213040000,61163507.776795335
76,030270000,20911684.544903357
77,803390000,13132936.009075282
78,956070112,1115784.5196683123
79,120220000,39473148.69169316
80,751197316,162276.97407336364
81,160620000,13139912.012527086
82,023810101,6441344.275432371
83,690270104,2092726.4700361819
84,783610106,67598.09607457649
85,751176716,117702.20810772879
86,782310000,7290643.408059482
87,010820000,37993064.24591456
88,220360000,18142324.110159233
89,273220000,23201375.986884724
90,132160102,418681.04513992526
91,810840000,45337922.882032625
92,350510203,1456954.4160508672
93,422181501,421314.625479048
94,622740102,21529649.23545973
95,705500106,1175718.9190342852
96,912230108,857948.9527955125
97,551280000,27364440.25277083
98,851170000,27949959.772459004
99,027940000,25189075.670851547
100,172640102,8176008.821394267
101,502350000,17153912.005166225
102,213550102,6263846.558512186
103,861940101,980509.7635466488
104,821160000,23745063.84491657
105,350510104,3879835.8270356776
106,771790000,21140491.484458648
107,353520101,15182523.541036565
108,261250000,37317503.02278285
109,891970000,107544184.41433284
110,161530000,31812756.02149725
111,740880000,19007554.448433273
112,940210107,256030.9396877709
113,223130000,46397794.07526783
114,213320000,62103721.529025644
115,710210000,28175587.15879602
116,630610000,24237561.015667275
117,071520000,14530143.565472366
118,141000000,22841280.363910913
119,920090106,484267.7561279611
120,441350101,3603858.543021948
121,181080000,114734662.5352912
122,103150000,8712827.941845033
123,783620108,3453285.3842604985
124,276540000,18815854.581998535
125,900020000,14610576.168484114
126,550720000,11386944.460596992
127,572650000,8789752.111746756
128,103820000,45141184.68295544
129,831370203,1048080.4686024019
130,773900401,1838419.8171995708
131,161380000,25750079.129042592
132,740100702,745526.3916746883
133,2A2580000,22892692.628423076
134,275630000,20578385.165858284
135,880750000,129339731.52621813
136,331770000,85142000.27775742
137,803200000,13683047.956203684
138,920630104,489160.75364682823
139,544220000,6972797.682192285
140,950180701,3048501.9262182205
141,231520000,13429188.485914117
142,141690000,7878921.637036391
143,954880105,3313688.9554167967
144,671840000,43789335.35947676
145,180680000,36135028.42849124
146,422620000,63946993.23761853
147,811180000,8866613.418495467
148,061170000,15305340.472548993
149,911740301,2602094.8316909163
150,391600000,46480548.93590727
151,861130000,46241748.1180036
152,890630000,41707163.33235661
153,130630102,308405.18781825533
154,362340000,21056295.9917979
155,060882905,442802.7143199158
156,420860000,23167433.244356193
157,644220104,33688243.213879496
158,784980117,11909415.967664264
159,060760000,25323055.183169298
160,372470000,61801055.64462853
161,690780000,23140400.39509597
162,890930000,20220336.744523447
163,024600000,10875671.80654912
164,811440000,27934200.641663074
165,315554004,1600961.853726313
166,092370000,5270434.237734226
167,531700000,69741940.32804456
168,514100000,21288928.647568442
169,392110000,11626711.262861494
170,031850115,1191702.851664162
171,222780119,1899019.559180841
172,100320000,38907747.690135516
173,460350000,15639345.623480476
174,730820000,6149930.923329309
175,791770000,25727728.558900625
176,751103703,159192.97739699367
177,930050802,113355.07257401284
178,441260000,35566727.87124061
179,132110602,339456.81940134475
180,301050000,118061905.36540656
181,402560000,21228368.655863337
182,392480000,13067360.057599168
183,953060104,3455709.8958022273
184,545470108,367331.1485027796
185,675200102,11548533.169756128
186,674660000,18558986.522842437
187,121500000,33581325.89772287
188,830460000,83939523.51102383
189,762700000,15228462.086655216
190,550450000,21849735.43654361
191,891500000,17687878.530614387
192,323950000,18189038.275422815
193,633450000,106090116.17858951
194,335430000,9463889.170396985
195,662060000,48252226.19242126
196,270230000,4116569.0470428145
